Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
10501;20188;Disaster Prevention and Management;journal;17586100, 09653562;0,554;Q2;70;68;123;3027;319;114;2,55;44,51;-;0;40;United Kingdom;Western Europe;Emerald Publishing;1992-2025;"Business, Management and Accounting (miscellaneous) (Q2); Health (social science) (Q2); Management, Monitoring, Policy and Law (Q2); Public Health, Environmental and Occupational Health (Q2)";"Business, Management and Accounting; Environmental Science; Medicine; Social Sciences"
10502;22041;Emotional and Behavioural Difficulties;journal;17412692, 13632752;0,554;Q2;38;20;84;1091;176;73;1,66;54,55;-;0;9;United Kingdom;Western Europe;Taylor and Francis Ltd.;1996-2024;"Clinical Psychology (Q2); Developmental and Educational Psychology (Q3); Psychiatry and Mental Health (Q3)";"Medicine; Psychology"
10503;4400151729;Eurasia Journal of Mathematics, Science and Technology Education;journal;13058223, 13058215;0,554;Q2;63;179;437;10242;1315;437;3,17;57,22;-;0;57;Turkey;Middle East;Modestum LTD;2006-2025;"Applied Mathematics (Q2); Education (Q2)";"Mathematics; Social Sciences"
10504;26602;Evaluation and Program Planning;journal;01497189, 18737870;0,554;Q2;74;82;337;3675;835;336;2,50;44,82;-;1;39;United Kingdom;Western Europe;Elsevier Ltd;1978-2025;"Business and International Management (Q2); Geography, Planning and Development (Q2); Public Health, Environmental and Occupational Health (Q2); Social Psychology (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Medicine; Psychology; Social Sciences"
10505;21101052354;Frontiers in Big Data;journal;2624909X;0,554;Q2;33;103;384;5522;1318;351;2,77;53,61;-;0;36;Switzerland;Western Europe;Frontiers Media SA;2018-2025;"Computer Science (miscellaneous) (Q2); Information Systems (Q2); Artificial Intelligence (Q3)";Computer Science
10506;21100317204;Gynecology and Minimally Invasive Therapy;journal;22133089, 22133070;0,554;Q2;21;57;167;1230;222;146;1,32;21,58;-;0;18;India;Asiatic Region;Wolters Kluwer Medknow Publications;2012-2024;Obstetrics and Gynecology (Q2);Medicine
10507;19600161810;Hematology/ Oncology and Stem Cell Therapy;journal;25890646, 16583876;0,554;Q2;31;31;152;529;258;143;1,50;17,06;-;1;12;Saudi Arabia;Middle East;Wolters Kluwer Health;2008-2024;"Medicine (miscellaneous) (Q2); Hematology (Q3); Oncology (Q3)";Medicine
10508;4700152207;International Communication Gazette;journal;17480485, 17480493;0,554;Q2;51;53;112;3256;238;110;1,92;61,43;-;0;17;United Kingdom;Western Europe;SAGE Publications Ltd;1961, 1966, 1996-1997, 2003-2004, 2006-2025;"Communication (Q2); Sociology and Political Science (Q2)";Social Sciences
10509;4700152403;Journal of Gay and Lesbian Social Services;journal;10538720;0,554;Q2;48;0;102;0;218;102;1,95;0,00;-;0;0;United States;Northern America;Routledge;1994-2023;"Gender Studies (Q2); Sociology and Political Science (Q2)";Social Sciences
10510;28525;Journal of Magnetic Resonance;journal;10960856, 10907807;0,554;Q2;147;114;446;4706;992;439;2,18;41,28;-;0;8;United States;Northern America;Academic Press Inc.;1997-2025;"Condensed Matter Physics (Q2); Nuclear and High Energy Physics (Q2); Biochemistry (Q3); Biophysics (Q3)";"Biochemistry, Genetics and Molecular Biology; Physics and Astronomy"
10511;4700152821;Journal of Research in Childhood Education;journal;02568543;0,554;Q2;41;75;118;4580;250;115;1,95;61,07;-;3;35;United Kingdom;Western Europe;Taylor and Francis Ltd.;1986-2025;"Education (Q2); Developmental and Educational Psychology (Q3)";"Psychology; Social Sciences"
10512;26703;Polish Archives of Internal Medicine;journal;00323772, 18979483;0,554;Q2;48;260;708;5428;1062;483;1,77;20,88;-;0;89;Poland;Eastern Europe;Medycyna Praktyczna Cholerzyn;1953-2025;Internal Medicine (Q2);Medicine
10513;21101092812;Proceedings of the American Mathematical Society, Series B;journal;23301511;0,554;Q2;9;56;112;1174;97;112;0,72;20,96;-;0;0;United States;Northern America;American Mathematical Society;2019-2025;"Algebra and Number Theory (Q2); Analysis (Q2); Discrete Mathematics and Combinatorics (Q2); Geometry and Topology (Q2)";Mathematics
10514;21100838131;Processes;journal;22279717;0,554;Q2;92;2938;8466;139659;29760;8310;3,28;47,54;-;1;1123;Switzerland;Western Europe;Multidisciplinary Digital Publishing Institute (MDPI);2013-2025;"Chemical Engineering (miscellaneous) (Q2); Process Chemistry and Technology (Q2); Bioengineering (Q3)";Chemical Engineering
10515;21101108655;Skin Health and Disease;journal;2690442X;0,554;Q2;11;173;271;3925;409;222;1,40;22,69;-;1;55;United Kingdom;Western Europe;Oxford University Press;2021-2024;Dermatology (Q2);Medicine
